#{"t_start": 1631274958.9852774, "env_id": null}
r,l,t
1.095238,5,59.530069
-0.833333,8,59.573952
1.190476,9,59.628805
1.119048,6,59.697621
1.214286,10,59.843232
1.238095,11,59.960917
-0.857143,7,60.02375
-9.714286,13,60.121488
1.095238,5,60.149413
-0.785714,10,60.209253
-0.809524,9,60.270091
1.071429,4,60.293029
1.166667,8,60.53937
1.261905,12,60.594223
1.214286,10,60.647082
1.261905,12,60.700938
1.309524,14,60.765765
1.190476,9,60.809647
1.166667,8,60.847545
-0.761905,11,60.896415
-0.690476,14,61.066959
1.285714,13,61.207583
-0.785714,10,61.27241
-9.809524,9,61.341226
1.238095,11,61.436969
-0.738095,12,61.501796
-0.880952,6,61.536703
1.190476,9,61.584575
1.238095,11,61.647406
1.214286,10,61.694281
-9.809524,9,61.742417
-0.809524,9,61.795012
1.119048,6,61.831084
-0.833333,8,61.870809
1.142857,7,61.909128
1.261905,12,61.969965
1.333333,15,62.040814
1.142857,7,62.07771
1.285714,13,62.352941
-9.619048,17,62.43971
1.166667,8,62.481597
1.238095,11,62.53645
-9.690476,14,62.601276
1.119048,6,62.636183
-0.880952,6,62.670093
1.095238,5,62.695026
1.285714,13,62.76085
1.095238,5,62.79077
-9.690476,14,62.864574
-0.738095,12,62.930397
1.190476,9,62.978268
1.166667,8,63.019589
-0.809524,9,63.065713
-0.880952,6,63.100426
-9.714286,13,63.164126
-9.761905,11,63.220811
-9.714286,13,63.286626
-9.785714,10,63.341482
1.333333,15,63.41229
1.190476,9,63.462156
-9.666667,15,63.53197
1.095238,5,63.556903
1.166667,8,63.596796
1.119048,6,63.821196
1.309524,14,63.883031
1.166667,8,63.918934
-0.809524,9,63.962817
1.166667,8,64.001713
-0.833333,8,64.042604
1.238095,11,64.09247
1.214286,10,64.14134
1.238095,11,64.193201
1.285714,13,64.262322
-0.809524,9,64.309196
-0.785714,10,64.375058
-0.833333,8,64.42492
-0.785714,10,64.484729
1.119048,6,64.521631
-9.666667,15,64.610392
1.142857,7,64.64829
1.071429,4,64.669266
1.095238,5,64.694202
-0.857143,7,64.731784
1.095238,5,64.760749
-9.666667,15,64.831518
1.142857,7,64.866899
1.285714,13,64.928529
-0.761905,11,64.984471
1.166667,8,65.020339
-9.690476,14,65.080264
-0.857143,7,65.310627
1.261905,12,65.363799
1.285714,13,65.421856
1.142857,7,65.453354
-0.833333,8,65.491785
-0.809524,9,65.53364
-0.880952,6,65.561565
-0.761905,11,65.61262
-9.761905,11,65.655099
1.166667,8,65.689221
-0.738095,12,65.740233
-9.738095,12,65.791059
1.285714,13,65.843917
-0.928571,4,65.863864
-0.785714,10,65.912281
1.166667,8,65.953172
-9.738095,12,66.013013
1.190476,9,66.063877
1.238095,11,66.120724
-0.809524,9,66.174579
1.261905,12,66.232426
1.142857,7,66.267331
-0.928571,4,66.288275
1.190476,9,66.329166
-9.666667,15,66.391039
1.142857,7,66.423142
1.166667,8,66.457829
1.190476,9,66.679846
1.166667,8,66.713178
1.261905,12,66.76364
-0.666667,15,66.827337
-0.833333,8,66.863241
1.285714,13,66.920392
