#{"t_start": 1631273319.9714222, "env_id": null}
r,l,t
1.309524,14,454.449284
-0.666667,15,454.518407
-9.738095,12,454.562142
1.261905,12,454.61685
1.071429,4,454.637794
1.071429,4,454.656783
1.166667,8,454.860094
1.190476,9,454.891337
-0.761905,11,454.938205
1.238095,11,454.985067
1.166667,8,455.016308
1.214286,10,455.06317
1.261905,12,455.110035
1.190476,9,455.141238
-9.714286,13,455.188141
1.119048,6,455.220014
1.238095,11,455.266937
-9.666667,15,455.329379
-0.761905,11,455.376281
1.119048,6,455.391902
1.285714,13,455.455691
1.166667,8,455.471312
1.166667,8,455.502592
1.166667,8,455.549458
-0.880952,6,455.56504
1.285714,13,455.611941
-0.833333,8,455.658804
-9.714286,13,455.70664
1.261905,12,455.753551
-9.714286,13,455.800368
1.119048,6,455.81599
1.071429,4,455.831611
1.166667,8,456.019101
1.214286,10,456.065969
1.142857,7,456.09721
1.119048,6,456.128453
-9.714286,13,456.175286
1.095238,5,456.190938
-9.619048,17,456.269777
-9.833333,8,456.308628
-9.666667,15,456.37146
-9.738095,12,456.420329
1.214286,10,456.461643
1.190476,9,456.492882
1.214286,10,456.53975
1.214286,10,456.570993
-9.690476,14,456.633489
1.190476,9,456.664683
-0.880952,6,456.695966
-0.833333,8,456.727213
-0.833333,8,456.774032
-0.880952,6,456.789703
1.238095,11,456.836517
-0.785714,10,456.883418
-9.738095,12,456.930284
1.095238,5,456.947051
1.119048,6,456.978333
1.095238,5,456.993916
-0.857143,7,457.0252
-0.714286,13,457.087643
1.166667,8,457.276472
-9.714286,13,457.323374
-9.714286,13,457.370238
1.214286,10,457.417064
1.166667,8,457.448356
1.238095,11,457.503743
-9.595238,18,457.581483
-9.785714,10,457.623372
1.190476,9,457.663256
1.119048,6,457.693176
-0.738095,12,457.796745
-9.690476,14,457.929056
1.214286,10,458.00619
1.095238,5,458.031123
1.261905,12,458.085978
1.238095,11,458.135845
1.166667,8,458.175737
-9.738095,12,458.229629
-9.619048,17,458.303121
1.309524,14,458.359969
-0.785714,10,458.403608
-0.761905,11,458.453572
1.071429,4,458.473518
-0.833333,8,458.498521
1.071429,4,458.686017
1.119048,6,458.701598
-0.833333,8,458.728357
1.261905,12,458.790881
-0.785714,10,458.837708
-0.785714,10,458.868987
1.119048,6,458.906387
1.261905,12,458.960761
1.261905,12,459.010631
1.357143,16,459.079444
1.261905,12,459.130309
-0.809524,9,459.173193
