,date,reference,paymentDelay,createdAt,identifier,paymentMethod,paye,client,numeroCheque,ID_Produits,id,status
0,2020-12-01T23:00:00Z,1000415,2021-08-08T00:17:25.560Z,2020-12-01T13:16:17.635Z,733472839000,check,True,190350,,"{38400: 96, 38450: 48, 38500: 24}",1035650,True
0,2020-10-16T22:00:00Z,1000384,2020-10-16T22:00:00Z,2020-10-16T11:10:44.750Z,147893467000,traite,True,188700,,"{38550: 48, 38400: 48, 38450: 96}",1035650,True
0,2019-03-12T10:04:22.068Z,1000045,2021-08-08T00:17:26.175Z,2019-03-12T10:04:22.068Z,-553480567000,check,True,189700,,"{38550: 15, 38400: 15}",1035650,True
0,2020-07-17T22:00:00Z,1000321,2021-08-08T00:17:26.473Z,2020-09-11T10:34:13.130Z,-1718546375000,check,True,189300,,"{38600: 48, 38650: 48}",1035650,True
0,2019-02-26T12:01:01.068Z,1000037,2021-08-08T00:17:26.772Z,2019-02-26T12:01:01.068Z,-1948393749000,check,True,189400,,"{38550: 48, 38350: 48}",1035650,True
0,2020-05-26T10:04:57.068Z,1000281,2021-08-08T00:17:27.071Z,2020-05-28T09:05:58.068Z,-1480735631000,check,True,189900,,{38650: 144},1035650,True
0,2019-06-25T21:37:33.068Z,1000088,2021-08-08T00:17:27.369Z,2019-06-25T21:37:33.068Z,-260127723000,check,True,189450,,"{38350: 12, 38550: 12}",1035650,True
0,2020-07-20T22:00:00Z,1000324,2020-09-17T04:40:22.796Z,2020-09-11T11:33:01.437Z,-460309886000,traite,True,189900,,{},1035650,True
0,2019-01-07T11:54:21.068Z,1000003,2021-08-08T00:17:27.964Z,2019-01-21T12:55:28.068Z,-1691326111000,check,True,189900,,"{38550: 48, 38400: 48, 38350: 48}",1035650,True
0,2020-09-28T22:00:00Z,1000366,2020-09-27T22:00:00Z,2020-09-27T16:18:18.757Z,-210523667000,traite,True,188750,,{},1035650,True
0,2020-10-01T22:00:00Z,1000368,2020-10-12T22:00:00Z,2020-10-01T13:03:02.153Z,-1614356787000,traite,True,190200,,"{38350: 24, 38600: 48, 38450: 48}",1035650,True
0,2020-08-11T22:00:00Z,1000331,2020-09-17T22:00:00Z,2020-09-11T11:52:11.214Z,1237555966000,traite,True,189450,,{38500: 24},1035650,True
0,2019-02-25T16:57:48.068Z,1000036,2021-08-08T00:17:29.157Z,2019-02-25T16:57:48.068Z,45084204000,check,True,189000,,"{38550: 12, 38600: 6, 38350: 6}",1035650,True
0,2020-06-09T15:02:12.068Z,1000298,2021-08-08T00:17:29.456Z,2020-06-09T14:02:26.068Z,-970509559000,check,True,189300,,"{38600: 48, 38400: 48, 38650: 96}",1035650,True
0,2019-11-05T11:34:09.068Z,1000175,2021-08-08T00:17:29.755Z,2019-11-05T11:34:09.068Z,-279471767000,check,True,190350,,{38400: 96},1035650,True
0,2019-11-18T15:34:10.068Z,1000183,2021-08-08T00:17:30.054Z,2019-11-18T15:34:10.068Z,2039101775000,check,True,188700,,"{38600: 48, 38500: 48, 38300: 48, 38400: 48, 38550: 48}",1035650,True
